time,hour_of_day,osnr_db,ber,power_dbm,latency_ms,event,fault_cause,environmental_factor,season,city
0,0,20.744,1.2405089458558721e-06,-1.59,13.031,NORMAL,NONE,0.0,dry,Lagos
1,0,19.668,1.3688978233576463e-06,-1.402,10.845,NORMAL,NONE,0.0,dry,Lagos
2,1,21.1,1.2108701888282095e-06,-1.09,14.549,NORMAL,NONE,0.0,dry,Lagos
3,1,21.252,1.277272655193223e-06,-1.697,10.745,NORMAL,NONE,0.0,dry,Lagos
4,2,18.939,8.585814130886496e-07,-1.239,7.509,NORMAL,NONE,0.0,dry,Lagos
5,2,19.458,1.0747384125915473e-06,-1.633,9.158,NORMAL,NONE,0.0,dry,Lagos
6,3,20.602,9.8893113080837e-07,-1.559,9.468,NORMAL,NONE,0.0,dry,Lagos
7,3,20.247,9.483681894742483e-07,-1.085,9.027,NORMAL,NONE,0.0,dry,Lagos
8,4,20.487,9.851595443716949e-07,-2.497,6.04,NORMAL,NONE,0.0,dry,Lagos
9,4,19.818,1.0439146684043123e-06,-2.148,9.153,NORMAL,NONE,0.0,dry,Lagos
10,5,21.204,1.1789174745744494e-06,-2.241,6.952,NORMAL,NONE,0.0,dry,Lagos
11,5,21.122,9.367495864841271e-07,-2.667,8.729,NORMAL,NONE,0.0,dry,Lagos
12,6,20.553,1.2036757791113303e-06,-1.839,9.153,NORMAL,NONE,0.0,dry,Lagos
13,6,21.402,1.1418996679999707e-06,-1.125,12.893,NORMAL,NONE,0.0,dry,Lagos
14,7,20.874,1.276747151544221e-06,-1.642,13.503,NORMAL,NONE,0.0,dry,Lagos
15,7,19.813,1.4523640329402079e-06,-1.401,12.265,NORMAL,NONE,0.0,dry,Lagos
16,8,20.795,1.3910312376845183e-06,-0.955,17.456,NORMAL,NONE,0.0,dry,Lagos
17,8,19.733,1.4965365501824422e-06,-0.836,16.228,NORMAL,NONE,0.0,dry,Lagos
18,9,21.203,1.299605250339013e-06,-1.535,14.004,NORMAL,NONE,0.0,dry,Lagos
19,9,20.46,1.228135575259467e-06,-0.823,19.373,NORMAL,NONE,0.0,dry,Lagos
20,10,20.352,1.1731369419743402e-06,-1.454,11.119,NORMAL,NONE,0.0,dry,Lagos
21,10,19.955,1.2290996149525467e-06,-1.919,12.064,NORMAL,NONE,0.0,dry,Lagos
