step,time,event,osnr_db,ber,state,action,diagnosis
0,0,NORMAL,22.397,1.0357787360348283e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
1,1,NORMAL,21.889,1.0560784526368234e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
2,2,NORMAL,22.518,1.1083051243175277e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
3,3,NORMAL,23.218,1.1053802052034903e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
4,4,NORMAL,21.813,8.622330632042909e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
5,5,NORMAL,21.813,9.062174960084877e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
6,6,NORMAL,23.263,1.051503526720866e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
7,7,NORMAL,22.614,1.0513785950912209e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
8,8,NORMAL,21.624,1.0515047686306047e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
9,9,NORMAL,22.434,1.385273149065472e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
10,10,NORMAL,21.629,1.0570890510693166e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
11,11,NORMAL,21.627,1.1135565640180599e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
12,12,NORMAL,22.194,1.0954001763493202e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
13,13,NORMAL,20.469,1.0651391251305798e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
14,14,NORMAL,20.62,9.684730755359654e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
15,15,NORMAL,21.55,1.0758969220493267e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
16,16,NORMAL,21.19,9.227174785462427e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
17,17,NORMAL,22.251,9.76318139325999e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
18,18,NORMAL,21.274,9.514636452170896e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
19,19,NORMAL,20.87,1.0081874139386322e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
20,20,NORMAL,23.173,1.231465856667351e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
21,21,NORMAL,21.819,8.132734807408251e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
22,22,NORMAL,22.054,1.0686260190374513e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
23,23,NORMAL,20.86,8.387284128810348e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
24,24,NORMAL,21.564,9.528068134210566e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
25,25,NORMAL,22.089,1.1088950596967366e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
26,26,NORMAL,21.079,1.0064280019095462e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
27,27,NORMAL,22.301,8.922255222070694e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
28,28,NORMAL,21.519,9.284696290740032e-08,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
29,29,NORMAL,21.767,1.0679597748934676e-07,NORMAL,NO_ACTION,NORMAL: Network operating within safe parameters.
