time,hour_of_day,osnr_db,ber,power_dbm,latency_ms,event,fault_cause,environmental_factor,season,city
0,0,20.744,1.2405089458558721e-06,-1.59,13.031,NORMAL,NONE,0.0,rainy,Lagos
1,0,19.668,1.3688978233576463e-06,-1.402,10.845,NORMAL,NONE,0.0,rainy,Lagos
2,1,21.1,1.2108701888282095e-06,-1.09,14.549,NORMAL,NONE,0.0,rainy,Lagos
3,1,21.252,1.277272655193223e-06,-1.697,10.745,NORMAL,NONE,0.0,rainy,Lagos
4,2,18.939,8.585814130886496e-07,-1.239,7.509,NORMAL,NONE,0.0,rainy,Lagos
5,2,19.458,1.0747384125915473e-06,-1.633,9.158,NORMAL,NONE,0.0,rainy,Lagos
6,3,20.602,9.8893113080837e-07,-1.559,9.468,NORMAL,NONE,0.0,rainy,Lagos
7,3,20.247,9.483681894742483e-07,-1.085,9.027,NORMAL,NONE,0.0,rainy,Lagos
8,4,20.487,9.851595443716949e-07,-2.497,6.04,NORMAL,NONE,0.0,rainy,Lagos
9,4,19.818,1.0439146684043123e-06,-2.148,9.153,NORMAL,NONE,0.0,rainy,Lagos
10,5,21.204,6.603294007921146e-06,-5.455,6.952,NORMAL,RAIN_ATTENUATION,1.0713,rainy,Lagos
11,5,21.122,9.367495864841271e-07,-2.667,8.729,NORMAL,NONE,0.0,rainy,Lagos
12,6,20.553,5.988330574386156e-06,-4.725,9.153,NORMAL,RAIN_ATTENUATION,0.9621,rainy,Lagos
13,6,21.402,1.1418996679999707e-06,-1.125,12.893,NORMAL,NONE,0.0,rainy,Lagos
14,7,20.874,4.969366510245438e-06,-4.277,13.503,NORMAL,RAIN_ATTENUATION,0.8782,rainy,Lagos
15,7,19.813,1.4523640329402079e-06,-1.401,12.265,NORMAL,NONE,0.0,rainy,Lagos
16,8,20.795,1.3910312376845183e-06,-0.955,17.456,NORMAL,NONE,0.0,rainy,Lagos
17,8,19.733,1.4965365501824422e-06,-0.836,16.228,NORMAL,NONE,0.0,rainy,Lagos
18,9,21.203,1.299605250339013e-06,-1.535,14.004,NORMAL,NONE,0.0,rainy,Lagos
19,9,20.46,1.228135575259467e-06,-0.823,19.373,NORMAL,NONE,0.0,rainy,Lagos
20,10,20.352,1.1731369419743402e-06,-1.454,11.119,NORMAL,NONE,0.0,rainy,Lagos
21,10,19.955,1.2290996149525467e-06,-1.919,12.064,NORMAL,NONE,0.0,rainy,Lagos
22,11,21.478,1.2211888030144453e-06,-1.797,12.538,NORMAL,NONE,0.0,rainy,Lagos
23,11,20.376,1.069873431331996e-06,-2.24,10.761,NORMAL,NONE,0.0,rainy,Lagos
24,12,20.157,1.2714017124851122e-06,-1.944,14.884,NORMAL,NONE,0.0,rainy,Lagos
25,12,20.218,1.288756769597502e-06,-1.679,12.573,NORMAL,NONE,0.0,rainy,Lagos
26,13,20.926,1.577201728729274e-06,-1.098,12.853,NORMAL,NONE,0.0,rainy,Lagos
27,13,20.792,1.4964824210214906e-06,-0.64,16.934,NORMAL,NONE,0.0,rainy,Lagos
28,14,20.83,8.445298282641997e-06,-5.027,11.407,NORMAL,RAIN_ATTENUATION,0.9454,rainy,Lagos
29,14,20.845,1.2237896964448038e-06,-1.304,8.251,NORMAL,NONE,0.0,rainy,Lagos
30,15,22.213,6.881833465856669e-06,-7.305,15.222,NORMAL,RAIN_ATTENUATION,1.7615,rainy,Lagos
31,15,20.175,5.516544352328158e-06,-3.835,17.099,NORMAL,RAIN_ATTENUATION,0.8576,rainy,Lagos
32,16,20.09,1.237872600430841e-06,-1.566,11.189,NORMAL,NONE,0.0,rainy,Lagos
33,16,19.849,1.3447024345065881e-06,-2.415,8.126,NORMAL,NONE,0.0,rainy,Lagos
34,17,20.993,1.112509939470767e-06,-1.036,11.379,NORMAL,NONE,0.0,rainy,Lagos
35,17,21.403,1.1215024271918646e-06,-1.803,11.428,NORMAL,NONE,0.0,rainy,Lagos
36,18,20.409,9.423253164313615e-07,-1.767,11.62,NORMAL,NONE,0.0,rainy,Lagos
